pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_pubdate,disc_facility,disc_telescope,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_lum,st_lumerr1,st_lumerr2,st_lumlim,glat,glon,sy_dist,sy_disterr1,sy_disterr2
11 Com b,11 Com,b,2,1,Radial Velocity,2007,2008-01,Xinglong Station,2.16 m Telescope,12.200,,,0,4914.89849,39.09289,-39.72855,0,14.900000,,,0,,,,,,,,,G8 III,4874.00,,,0,13.76,2.85,-2.45,0,2.09,0.64,-0.63,0,1.978,0.180,-0.159,0,78.28058,264.13775,93.1846000,1.9238000,-1.9238000
11 UMi b,11 UMi,b,1,1,Radial Velocity,2009,2009-10,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,12.300,,,0,4684.81420,794.57500,-794.57500,0,13.800000,,,0,,,,,,,,,K4 III,4213.00,46.00,-46.00,0,29.79,2.84,-2.84,0,2.78,0.69,-0.69,0,2.430,0.008,-0.008,0,41.04437,108.71900,125.3210000,1.9765000,-1.9765000
14 And b,14 And,b,1,1,Radial Velocity,2008,2008-12,Okayama Astrophysical Observatory,1.88 m Telescope,13.100,,,0,1131.15130,36.23244,-38.77507,0,2.760000,,,0,,,,,,,,,K0 III,4888.00,,,0,11.55,1.12,-0.51,0,1.78,0.43,-0.29,0,1.840,0.081,-0.050,0,-21.05141,106.41269,75.4392000,0.7140000,-0.7140000
14 Her b,14 Her,b,1,2,Radial Velocity,2002,2003-01,W. M. Keck Observatory,10 m Keck I Telescope,12.600,,,0,2559.47216,518.69596,-280.64248,0,7.030000,,,0,,,,,144.652,6.279,-3.241,0,K0 V,5338.00,25.00,-25.00,0,0.93,0.01,-0.01,0,0.91,0.11,-0.11,0,-0.153,0.012,-0.010,0,46.94447,69.16849,17.9323000,0.0073000,-0.0073000
16 Cyg B b,16 Cyg B,b,3,1,Radial Velocity,1996,1997-07,Multiple Observatories,Multiple Telescopes,13.500,,,0,565.73740,25.42640,-25.42640,0,1.260000,,,0,,,,,,,,,G3 V,5750.00,8.00,-8.00,0,1.13,0.01,-0.01,0,1.08,0.04,-0.04,0,0.097,0.009,-0.013,0,13.20446,83.33558,21.1397000,0.0110000,-0.0111000
17 Sco b,17 Sco,b,1,1,Radial Velocity,2020,2020-12,Lick Observatory,Coude Auxiliary Telescope,12.900,,,0,1373.01872,47.67426,-38.13941,0,3.510000,,,0,,,,,,,,,K3 III,4157.00,11.00,-10.00,0,25.92,0.78,-0.74,0,1.22,0.13,-0.14,0,2.254,0.026,-0.024,0,27.34301,1.30262,124.9530000,2.5900000,-2.5900000
18 Del b,18 Del,b,2,1,Radial Velocity,2008,2008-06,Okayama Astrophysical Observatory,1.88 m Telescope,12.500,,,0,2926.24614,50.85255,-24.47279,0,8.230000,,,0,,,,,,,,,G6 III,4980.00,,,0,8.80,0.61,-0.40,0,2.10,0.13,-0.09,0,1.634,0.061,-0.043,0,-21.97480,58.69121,76.2220000,0.6217000,-0.6217000
1RXS J160929.1-210524 b,1RXS J160929.1-210524,b,1,1,Imaging,2008,2008-12,Gemini Observatory,8.19 m Gemini North Telescope,18.647,,,0,3000.00000,300.00000,-300.00000,0,2.540000,,,0,1700,100,-100,0,,,,,K7 V,4060.00,300.00,-200.00,0,1.31,0.18,-0.10,0,0.85,0.20,-0.10,0,-0.370,0.150,-0.150,0,22.03031,352.89050,139.1350000,1.3320000,-1.3070000
24 Boo b,24 Boo,b,1,1,Radial Velocity,2018,2018-08,Okayama Astrophysical Observatory,1.88 m Telescope,13.900,,,0,280.64248,11.44182,-13.66662,0,0.574000,,,0,,,,,,,,,G3 IV,4816.00,,,0,12.19,1.45,-1.28,0,1.05,0.27,-0.18,0,1.877,0.090,-0.095,0,60.64470,90.16373,95.9863000,0.6368500,-0.6368500
24 Sex b,24 Sex,b,1,2,Radial Velocity,2010,2011-01,Lick Observatory,3.0 m C. Donald Shane Telescope,13.400,,,0,632.46000,82.63000,-120.77000,0,1.440000,,,0,,,,,,,,,K0 IV,5098.00,44.00,-44.00,0,4.90,0.08,-0.08,0,1.54,0.08,-0.08,0,1.164,0.003,-0.003,0,44.71580,245.08569,72.0691000,0.6854000,-0.6728000
24 Sex c,24 Sex,c,1,2,Radial Velocity,2010,2011-01,Lick Observatory,3.0 m C. Donald Shane Telescope,13.900,,,0,273.32000,111.24000,-69.92000,0,0.559000,,,0,,,,,,,,,K0 IV,5098.00,44.00,-44.00,0,4.90,0.08,-0.08,0,1.54,0.08,-0.08,0,1.164,0.003,-0.003,0,44.71580,245.08569,72.0691000,0.6854000,-0.6728000
2M0437 b,2MASS J04372171+2651014,b,1,1,Imaging,2021,2021-10,Subaru Telescope,8.2 m Subaru Telescope,13.000,,,0,1271.31363,317.82841,-317.82841,0,3.180000,,,0,1450,50,-50,0,,,,,M V,3100.00,100.00,-100.00,0,0.84,0.11,-0.11,0,0.17,0.01,-0.02,0,-1.164,0.003,-0.003,0,-13.44593,172.81975,128.4840000,1.1960000,-1.1740000
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,b,2,1,Imaging,2013,2013-05,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,12.300,,,0,4131.79000,317.83000,-317.83000,0,12.200000,,,0,,,,,,,,,M5.5/M6,,,,,,,,,0.19,0.02,-0.02,0,,,,,-61.77586,299.26888,47.2000000,3.1000000,-3.1000000
2MASS J01225093-2439505 b,2MASS J01225093-2439505,b,1,1,Imaging,2013,2013-09,W. M. Keck Observatory,10 m Keck II Telescope,11.209,,,0,7786.50000,794.50000,-794.50000,0,30.400000,,,0,1600,100,-100,0,,,,,M3.5 V,3530.00,50.00,-50.00,0,0.37,0.01,-0.01,0,0.40,0.05,-0.05,0,-1.720,0.110,-0.110,0,-82.51990,195.45385,33.8281000,0.0864000,-0.0860000
2MASS J02192210-3925225 b,2MASS J02192210-3925225,b,1,1,Imaging,2015,2015-06,Cerro Tololo Inter-American Observatory,1.5 m CTIO Telescope,16.141,0.336,-0.336,0,4417.83700,349.61300,-349.61300,0,5.770000,,,0,,,,,,,,,M6,3064.00,76.00,-76.00,0,0.28,0.01,-0.01,0,0.11,0.01,-0.01,0,-2.230,0.060,-0.060,0,-67.98402,252.45343,40.0896412,0.1940496,-0.1940496
2MASS J04414489+2301513 b,2MASS J04414489+2301513,b,1,1,Imaging,2010,2010-05,Hubble Space Telescope,2.4 m Hubble Space Telescope,12.600,,,0,2383.60000,794.50000,-794.50000,0,6.550000,,,0,,,,,,,,,M8.5,2936.00,182.00,-182.00,0,0.23,0.01,-0.01,0,0.02,,,0,-2.444,0.131,-0.188,0,-15.11435,176.51065,120.4239870,5.4783417,-5.4783417
2MASS J12073346-3932539 b,2MASS J12073346-3932539,b,1,1,Imaging,2004,2004-10,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,12.900,,,0,1589.15000,635.66000,-635.66000,0,4.070000,,,0,1250,200,-200,0,,,,,M8,2825.00,157.00,-157.00,0,0.22,0.01,-0.01,0,0.02,,,0,-2.561,0.110,-0.148,0,22.54309,293.79011,64.3080000,0.6569000,-0.6440000
2MASS J19383260+4603591 b,2MASS J19383260+4603591,b,2,3,Eclipse Timing Variations,2015,2015-05,Kepler,0.95 m Kepler Telescope,13.400,,,0,603.87700,31.78300,-31.78300,0,1.380000,,,0,,,,,,,,,,29564.00,,,0,0.20,0.00,0.00,0,0.48,,,0,1.450,,,0,11.67426,79.01876,396.3320000,6.3885000,-6.3885000
2MASS J22362452+4751425 b,2MASS J22362452+4751425,b,1,1,Imaging,2016,2017-01,W. M. Keck Observatory,10 m Keck II Telescope,12.300,,,0,3972.87500,476.74500,-476.74500,0,11.700000,,,0,,,,,,,,,K7 V,4045.00,35.00,-35.00,0,0.64,0.06,-0.06,0,0.60,0.05,-0.05,0,-1.021,0.002,-0.002,0,-9.10923,100.74846,69.5737000,0.1592000,-0.1585000
30 Ari B b,30 Ari B,b,4,1,Radial Velocity,2009,2009-12,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,12.300,,,0,4392.41060,572.09400,-572.09400,0,13.000000,,,0,,,,,,,,,F6 V,6331.00,61.00,-61.00,0,1.41,0.05,-0.05,0,1.93,0.27,-0.27,0,0.381,0.001,-0.001,0,-32.30930,151.47681,44.6570000,0.1039000,-0.1034000
4 UMa b,4 UMa,b,1,1,Radial Velocity,2006,2007-09,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,12.600,,,0,2511.48007,63.24785,-120.13914,0,6.900000,,,0,,,,,,,,,K1 III,4415.00,70.00,-70.00,0,18.11,1.47,-1.47,0,1.23,0.15,-0.15,0,2.062,0.008,-0.008,0,35.95654,151.35882,73.4603000,1.1860500,-1.1860500
42 Dra b,42 Dra,b,2,1,Radial Velocity,2008,2009-06,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,13.000,,,0,1233.13000,270.14000,-270.14000,0,3.080000,,,0,,,,,,,,,K1.5 III,4200.00,70.00,-70.00,0,22.03,1.00,-1.00,0,0.98,0.05,-0.05,0,2.155,0.007,-0.008,0,27.12504,95.41912,90.6545000,1.3227000,-1.3227000
47 UMa b,47 UMa,b,1,3,Radial Velocity,1996,1996-06,Lick Observatory,3.0 m C. Donald Shane Telescope,13.200,,,0,804.08000,22.25000,-19.07000,0,1.920000,,,0,,,,,,,,,G0 V,5872.00,92.94,-113.53,0,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0,0.198,0.012,-0.011,0,63.36770,175.78305,13.7967000,0.0289000,-0.0289000
47 UMa c,47 UMa,c,1,3,Radial Velocity,2001,2002-01,Lick Observatory,3.0 m C. Donald Shane Telescope,14.200,,,0,171.62100,20.97600,-23.20100,0,0.329000,,,0,,,,,,,,,G1 V,5872.00,92.94,-113.53,0,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0,0.198,0.012,-0.011,0,63.36770,175.78305,13.7967000,0.0289000,-0.0289000
47 UMa d,47 UMa,d,1,3,Radial Velocity,2009,2010-04,Lick Observatory,3.0 m C. Donald Shane Telescope,13.500,,,0,521.22000,92.17000,-152.55000,0,1.160000,,,0,,,,,,,,,G0V,5872.00,92.94,-113.53,0,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0,0.198,0.012,-0.011,0,63.36770,175.78305,13.7967000,0.0289000,-0.0289000
51 Eri b,51 Eri,b,3,1,Imaging,2015,2015-00,Gemini Observatory,8.19 m Gemini South Telescope,13.400,,,0,635.66000,,,0,1.450000,,,0,700,,,0,133.000,14.000,-7.000,0,F0 IV,7295.00,120.09,-98.99,0,1.49,0.05,-0.06,0,1.75,0.05,-0.05,0,0.850,0.060,-0.060,0,-30.65764,198.61297,29.7575000,0.1213000,-0.1203000
51 Peg b,51 Peg,b,1,1,Radial Velocity,1995,1995-11,Haute-Provence Observatory,1.93 m Telescope,14.300,,,0,146.20180,19.06980,-3.17830,0,0.275000,,,0,,,,,80.000,10.000,-19.000,0,G5V,5758.00,101.62,-119.62,0,1.18,0.07,-0.04,0,1.03,0.17,-0.09,0,0.136,0.007,-0.015,0,-34.72750,90.06374,15.4614000,0.0297000,-0.0297000
55 Cnc b,55 Cnc,b,2,5,Radial Velocity,1996,1997-01,Lick Observatory,3.0 m C. Donald Shane Telescope,13.900,,,0,263.97850,1.04880,-1.04880,0,0.540000,,,0,700,,,0,89.730,24.490,-24.540,0,K0 IV-V,5172.00,18.00,-18.00,0,0.94,0.01,-0.01,0,0.91,0.02,-0.02,0,-0.197,0.012,-0.010,0,37.69663,196.79526,12.5855000,0.0124000,-0.0123000
55 Cnc c,55 Cnc,c,2,5,Radial Velocity,2004,2004-10,McDonald Observatory,9.2 m Hobby-Eberly Telescope,8.510,,,0,54.47380,1.74800,-1.74800,0,0.486000,,,0,,,,,89.730,24.490,-24.540,0,G8V,5172.00,18.00,-18.00,0,0.94,0.01,-0.01,0,0.91,0.02,-0.02,0,-0.197,0.012,-0.010,0,37.69663,196.79526,12.5855000,0.0124000,-0.0123000
55 Cnc d,55 Cnc,d,2,5,Radial Velocity,2002,2002-12,Lick Observatory,3.0 m C. Donald Shane Telescope,13.000,,,0,1232.49300,21.61200,-21.61200,0,3.080000,,,0,,,,,89.730,24.490,-24.540,0,G8 V,5172.00,18.00,-18.00,0,0.94,0.01,-0.01,0,0.91,0.02,-0.02,0,-0.197,0.012,-0.010,0,37.69663,196.79526,12.5855000,0.0124000,-0.0123000
55 Cnc e,55 Cnc,e,2,5,Radial Velocity,2004,2004-10,McDonald Observatory,9.2 m Hobby-Eberly Telescope,1.875,0.029,-0.029,0,7.99000,0.32000,-0.33000,0,6.660000,0.430000,-0.400000,0,1958,15,-15,0,83.590,0.470,-0.440,0,G8 V,5172.00,18.00,-18.00,0,0.94,0.01,-0.01,0,0.91,0.02,-0.02,0,-0.197,0.012,-0.010,0,37.69663,196.79526,12.5855000,0.0124000,-0.0123000
55 Cnc f,55 Cnc,f,2,5,Radial Velocity,2007,2008-03,Multiple Observatories,Multiple Telescopes,7.590,,,0,44.81200,3.81400,-3.81400,0,0.563000,,,0,,,,,89.730,24.490,-24.540,0,G8V,5172.00,18.00,-18.00,0,0.94,0.01,-0.01,0,0.91,0.02,-0.02,0,-0.197,0.012,-0.010,0,37.69663,196.79526,12.5855000,0.0124000,-0.0123000
6 Lyn b,6 Lyn,b,1,1,Radial Velocity,2008,2008-12,Okayama Astrophysical Observatory,1.88 m Telescope,13.400,,,0,597.83523,12.07748,-28.28673,0,1.370000,,,0,,,,,,,,,K0 IV,4941.00,,,0,4.94,0.55,-0.50,0,1.32,0.20,-0.21,0,1.119,0.095,-0.098,0,20.18918,156.97286,54.6599000,0.2734000,-0.2734000
61 Vir b,61 Vir,b,1,3,Radial Velocity,2009,2010-01,Multiple Observatories,Multiple Telescopes,2.110,,,0,5.10000,0.50000,-0.50000,0,2.980000,,,0,,,,,,,,,G5 V,5577.00,33.00,-33.00,0,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0,-0.095,0.003,-0.003,0,44.08875,311.85177,8.5033200,0.0173700,-0.0173000
61 Vir c,61 Vir,c,1,3,Radial Velocity,2009,2010-01,Multiple Observatories,Multiple Telescopes,4.460,,,0,18.20000,1.10000,-1.10000,0,1.130000,,,0,,,,,,,,,G5 V,5577.00,33.00,-33.00,0,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0,-0.095,0.003,-0.003,0,44.08875,311.85177,8.5033200,0.0173700,-0.0173000
61 Vir d,61 Vir,d,1,3,Radial Velocity,2009,2010-01,Multiple Observatories,Multiple Telescopes,5.110,,,0,22.90000,2.60000,-2.60000,0,0.943000,,,0,,,,,,,,,G5 V,5577.00,33.00,-33.00,0,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0,-0.095,0.003,-0.003,0,44.08875,311.85177,8.5033200,0.0173700,-0.0173000
7 CMa b,7 CMa,b,1,2,Radial Velocity,2011,2011-12,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,13.400,,,0,587.98550,19.06980,-19.06980,0,1.340000,,,0,,,,,90.000,,,0,K1 III,4826.00,45.00,-55.00,0,4.87,0.17,-0.14,0,1.34,0.11,-0.12,0,1.063,0.012,-0.008,0,-11.79597,228.68876,19.8101000,0.1648000,-0.1648000
7 CMa c,7 CMa,c,1,2,Radial Velocity,2019,2019-11,Multiple Observatories,Multiple Telescopes,13.900,,,0,276.51210,19.06980,-19.06980,0,0.566000,,,0,,,,,90.000,,,0,K1III(+M),4826.00,45.00,-55.00,0,4.87,0.17,-0.14,0,1.34,0.11,-0.12,0,1.063,0.012,-0.008,0,-11.79597,228.68876,19.8101000,0.1648000,-0.1648000
70 Vir b,70 Vir,b,1,1,Radial Velocity,1996,1996-06,Lick Observatory,3.0 m C. Donald Shane Telescope,12.600,,,0,2380.45000,193.87000,-193.87000,0,6.540000,,,0,,,,,,,,,G5V,5495.00,,,0,1.89,,,0,1.09,,,0,0.451,0.009,-0.010,0,74.09910,337.65749,17.9011000,0.0560000,-0.0557000
75 Cet b,75 Cet,b,2,2,Radial Velocity,2012,2012-12,Okayama Astrophysical Observatory,1.88 m Telescope,13.300,,,0,787.89662,23.51930,-28.60456,0,1.840000,,,0,,,,,,,,,G3 III,4809.00,,,0,10.38,0.15,-0.26,0,1.92,0.07,-0.08,0,1.714,0.012,-0.021,0,-54.44177,169.94418,82.9613000,0.7236500,-0.7236500
75 Cet c,75 Cet,c,2,2,Radial Velocity,2023,2023-08,Okayama Astrophysical Observatory,1.88 m Telescope,13.900,,,0,289.85951,27.96890,-45.44946,0,0.593000,,,0,,,,,,,,,G3 III,4809.00,,,0,10.38,0.15,-0.26,0,1.92,0.07,-0.08,0,1.714,0.012,-0.021,0,-54.44177,169.94418,82.9613000,0.7236500,-0.7236500
8 UMi b,8 UMi,b,1,1,Radial Velocity,2015,2015-12,Bohyunsan Optical Astronomical Observatory,1.8 m Telescope,13.600,,,0,416.35730,50.85280,-50.85280,0,0.910000,,,0,,,,,,,,,K0,4847.00,7.00,-7.00,0,10.30,0.57,-0.57,0,1.44,0.19,-0.19,0,1.725,0.003,-0.003,0,39.66099,112.79492,162.5520000,0.6510000,-0.6460000
81 Cet b,81 Cet,b,1,1,Radial Velocity,2008,2008-12,Okayama Astrophysical Observatory,1.88 m Telescope,13.100,,,0,1051.05854,24.79062,-21.29450,0,2.570000,,,0,,,,,,,,,G5 III,4734.00,,,0,11.21,0.81,-0.35,0,1.23,0.30,-0.25,0,1.760,0.059,-0.041,0,-55.24995,174.48697,101.2600000,1.2220000,-1.2220000
91 Aqr b,91 Aqr,b,3,1,Radial Velocity,2013,2013-07,Lick Observatory,0.6 m Coude Auxiliary Telescope,13.100,,,0,1017.00000,,,0,2.490000,,,0,,,,,,,,,K0 III,4665.00,18.00,-18.00,0,11.00,0.10,-0.10,0,1.40,0.10,-0.10,0,1.692,0.006,-0.006,0,-61.11327,67.07416,44.0304000,0.5132500,-0.5132500
AB Aur b,AB Aur,b,1,1,Imaging,2022,2022-04,Subaru Telescope,8.2 m Subaru Telescope,12.500,,,0,2860.45566,,,0,8.050000,,,0,,,,,42.600,15.600,-15.500,0,,9770.00,100.00,-100.00,0,2.96,0.10,-0.07,0,2.40,0.20,-0.20,0,1.771,0.035,-0.038,0,-7.98082,172.49916,162.1270000,1.5260000,-1.4980000
AB Pic b,AB Pic,b,1,1,Imaging,2005,2005-08,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,12.300,,,0,4290.50000,158.90000,-158.90000,0,12.700000,,,0,,,,,,,,,K2 V,5285.00,10.00,-9.00,0,1.00,0.03,-0.02,0,0.90,0.10,-0.10,0,-0.226,0.001,-0.001,0,-26.93081,266.94347,50.0475000,0.0735000,-0.0733000
AF Lep b,AF Lep,b,1,1,Imaging,2023,2023-02,Paranal Observatory,8.2 m ESO VLT UT3 Melipal Telescope,13.100,,,0,1017.05090,222.47988,-190.69704,0,2.490000,,,0,1400,300,-300,0,50.000,9.000,-12.000,0,F8 V,6130.00,60.00,-60.00,0,1.25,0.06,-0.06,0,1.20,0.06,-0.06,0,0.290,0.011,-0.011,0,-24.04116,214.37435,26.8564000,0.0189000,-0.0188000
AU Mic b,AU Mic,b,1,3,Transit,2020,2020-06,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,3.957,0.146,-0.146,0,20.12000,1.57000,-1.72000,0,1.320000,0.190000,-0.200000,0,600,17,-16,0,89.500,0.300,-0.300,0,M1,3665.00,31.00,-31.00,0,0.82,0.02,-0.02,0,0.50,0.03,-0.03,0,-0.990,0.010,-0.010,0,-36.80401,12.65304,9.7221000,0.0046250,-0.0046250
AU Mic c,AU Mic,c,1,3,Transit,2021,2021-05,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,3.240,0.160,-0.160,0,9.60000,2.07000,-2.31000,0,1.220000,0.260000,-0.290000,0,459,13,-12,0,89.227,0.217,-0.217,0,M1,3665.00,31.00,-31.00,0,0.82,0.02,-0.02,0,0.50,0.03,-0.03,0,-0.990,0.010,-0.010,0,-36.80401,12.65304,9.7221000,0.0046250,-0.0046250
AU Mic d,AU Mic,d,1,3,Transit Timing Variations,2023,2023-12,Multiple Observatories,Multiple Telescopes,1.020,,,0,1.05300,0.51100,-0.51100,0,5.450000,,,0,,,,,89.318,1.158,-1.158,0,M1,3678.00,90.00,-88.00,0,0.74,0.02,-0.02,0,0.51,0.03,-0.03,0,-1.038,0.049,-0.049,0,-36.80401,12.65304,9.7221000,0.0046250,-0.0046250
BD+03 2562 b,BD+03 2562,b,1,1,Radial Velocity,2017,2017-10,Multiple Observatories,Multiple Telescopes,12.700,,,0,2034.11200,413.17900,-413.17900,0,5.460000,,,0,,,,,,,,,,4095.00,20.00,-20.00,0,32.35,8.82,-8.82,0,1.14,0.25,-0.25,0,2.700,0.140,-0.140,0,61.57342,269.32522,1070.6300000,63.8750000,-63.8750000
BD+14 4559 b,BD+14 4559,b,1,1,Radial Velocity,2009,2009-12,McDonald Observatory,9.2 m Hobby-Eberly Telescope,13.800,,,0,330.54320,149.38010,-149.38010,0,0.691000,,,0,,,,,,,,,K2 V,4864.00,101.00,-101.00,0,0.86,0.04,-0.04,0,0.49,0.33,-0.33,0,-0.320,,,0,-22.63172,64.41837,49.3520000,0.0846000,-0.0844000
BD+15 2375 b,BD+15 2375,b,1,1,Radial Velocity,2016,2016-04,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,13.800,,,0,337.21763,85.81410,-85.81410,0,0.705000,,,0,,,,,,,,,G5,4649.00,30.00,-30.00,0,8.95,1.45,-1.45,0,1.08,0.14,-0.14,0,1.570,0.100,-0.100,0,70.27244,249.00212,768.0450000,45.0380000,-45.0380000
BD+15 2940 b,BD+15 2940,b,1,1,Radial Velocity,2013,2013-06,McDonald Observatory,9.2 m Hobby-Eberly Telescope,13.700,,,0,352.78000,,,0,0.754000,,,0,,,,,,,,,K0,4796.00,117.00,-117.00,0,14.70,2.80,-2.80,0,1.10,0.20,-0.20,0,2.010,0.750,-0.750,0,44.78011,28.10432,426.4200000,6.4400000,-6.4400000
BD+20 2457 b,BD+20 2457,b,1,2,Radial Velocity,2009,2009-12,McDonald Observatory,9.2 m Hobby-Eberly Telescope,12.100,,,0,6807.63000,,,0,21.100000,,,0,,,,,,,,,K2 II,4137.00,10.00,-10.00,0,49.00,26.00,-26.00,0,2.80,1.50,-1.50,0,3.170,,,0,53.95226,216.04472,1539.7100000,189.9250000,-189.9250000
BD+20 2457 c,BD+20 2457,c,1,2,Radial Velocity,2009,2009-12,McDonald Observatory,9.2 m Hobby-Eberly Telescope,12.400,,,0,3963.17000,,,0,11.400000,,,0,,,,,,,,,K2 II,4137.00,10.00,-10.00,0,49.00,26.00,-26.00,0,2.80,1.50,-1.50,0,3.170,,,0,53.95226,216.04472,1539.7100000,189.9250000,-189.9250000
BD+20 274 b,BD+20 274,b,1,1,Radial Velocity,2012,2012-09,McDonald Observatory,9.2 m Hobby-Eberly Telescope,13.000,,,0,1334.88600,,,0,3.340000,,,0,,,,,,,,,K5 III,4296.00,10.00,-10.00,0,17.30,0.90,-0.90,0,0.80,0.20,-0.20,0,1.960,0.180,-0.180,0,-40.23345,138.97420,1322.5100000,80.5350000,-80.5350000
BD+20 594 b,BD+20 594,b,1,1,Transit,2016,2016-10,K2,0.95 m Kepler Telescope,2.578,0.112,-0.112,0,22.24810,9.53490,-9.53490,0,7.890000,3.400000,-3.100000,0,546,19,-18,0,89.550,0.160,-0.160,0,G,5766.00,99.00,-99.00,0,1.08,0.06,-0.06,0,1.67,0.40,-0.40,0,-0.056,0.068,-0.064,0,-28.05348,166.79660,179.4610000,1.2570000,-1.2400000
BD+45 564 b,BD+45 564,b,1,1,Radial Velocity,2021,2021-07,Haute-Provence Observatory,1.93 m Telescope,13.600,,,0,432.24663,38.13941,-38.13941,0,0.944000,,,0,,,,,2.579,,,-1,K1,5004.00,50.00,-50.00,0,0.81,0.04,-0.04,0,0.81,0.07,-0.07,0,-0.399,0.008,-0.012,0,-14.70463,137.23205,53.6220000,0.1919000,-0.1905000
BD+48 738 b,BD+48 738,b,1,1,Radial Velocity,2011,2012-01,McDonald Observatory,9.2 m Hobby-Eberly Telescope,13.900,,,0,289.22530,,,0,0.592000,,,0,,,,,,,,,K0 III,4414.00,15.00,-15.00,0,11.00,1.00,-1.00,0,0.74,0.39,-0.39,0,1.690,0.330,-0.330,0,-9.37870,140.80848,871.4930000,43.8490000,-43.8490000
BD+48 740 b,BD+48 740,b,1,1,Radial Velocity,2018,2018-05,Multiple Observatories,Multiple Telescopes,13.500,,,0,540.31100,222.48100,-222.48100,0,1.210000,,,0,,,,,,,,,K3 III,4534.00,8.00,-8.00,0,10.33,1.81,-1.81,0,1.09,0.16,-0.16,0,1.640,0.120,-0.120,0,-9.96534,141.10904,666.5890000,21.5335000,-21.5335000
BD+49 828 b,BD+49 828,b,1,1,Radial Velocity,2015,2015-04,McDonald Observatory,9.2 m Hobby-Eberly Telescope,13.500,,,0,508.50000,127.10000,-63.60000,0,1.140000,,,0,,,,,,,,,K0,4943.00,30.00,-30.00,0,7.60,1.30,-1.30,0,1.52,0.22,-0.22,0,1.470,0.130,-0.130,0,-7.80173,143.61792,442.0420000,7.6540000,-7.6540000
BD+55 362 b,BD+55 362,b,1,1,Radial Velocity,2021,2021-07,Haute-Provence Observatory,1.93 m Telescope,14.000,,,0,228.83645,25.42627,-25.42627,0,0.458000,,,0,,,,,0.601,,,-1,K3,5012.00,78.00,-78.00,0,0.90,0.06,-0.04,0,0.91,0.10,-0.10,0,-0.313,0.014,-0.009,0,-5.64657,129.03163,52.5697000,0.0974000,-0.0971000
BD+60 1417 b,BD+60 1417,b,1,1,Imaging,2021,2021-12,Wide-field Infrared Survey Explorer (WISE) Sat,0.4 m Telescope,14.684,0.673,-0.673,0,4767.42610,1589.14204,-1589.14204,0,8.270000,,,0,1303,74,-74,0,,,,,K0,4993.00,124.00,-124.00,0,0.80,0.05,-0.05,0,1.00,,,0,0.356,0.010,-0.010,0,57.08610,124.74559,44.9543000,0.0593000,-0.0592000
BD+63 1405 b,BD+63 1405,b,1,1,Radial Velocity,2021,2021-07,Haute-Provence Observatory,1.93 m Telescope,12.400,,,0,3305.41543,413.17693,-349.61125,0,9.530000,,,0,,,,,5.974,,,-1,K0,5000.00,53.00,-53.00,0,0.80,0.04,-0.06,0,0.82,0.08,-0.08,0,-0.413,0.010,-0.013,0,29.15130,93.08126,38.0473000,0.0329000,-0.0329000
BD-00 4475 b,BD-00 4475,b,1,1,Radial Velocity,2021,2021-07,Haute-Provence Observatory,1.93 m Telescope,12.000,,,0,7961.60160,708.75735,-708.75735,0,25.300000,,,0,,,,,13.310,,,-1,G0,5040.00,112.00,-112.00,0,0.84,0.04,-0.04,0,0.81,0.10,-0.10,0,-0.350,0.010,-0.011,0,-53.35536,77.53408,42.6402000,0.1816000,-0.1801000
