pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_pubdate,disc_facility,disc_telescope,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_lum,st_lumerr1,st_lumerr2,st_lumlim,glat,glon,sy_dist,sy_disterr1,sy_disterr2
Kepler-93 c,Kepler-93,c,1,2,Radial Velocity,2014,2014-02,W. M. Keck Observatory,10 m Keck I Telescope,,,,,954.00000,,,-1,,,,,,,,,,,,,,5669.00,75.00,-75.00,0,0.92,0.02,-0.02,0,0.91,0.06,-0.06,0,-0.106,0.010,-0.013,0,10.45836,71.20378,95.9115000,0.2217000,-0.2206000
Kepler-930 b,Kepler-930,b,1,1,Transit,2016,2016-05,Kepler,0.95 m Kepler Telescope,2.130,0.920,-0.420,0,5.18000,,,0,2.950000,,,0,561,,,0,89.990,,,0,,6335.00,273.34,-258.85,0,1.40,0.60,-0.27,0,1.25,0.22,-0.16,0,0.378,,,0,7.52807,76.90346,848.3960000,11.6680000,-11.6680000
Kepler-931 b,Kepler-931,b,1,1,Transit,2016,2016-05,Kepler,0.95 m Kepler Telescope,1.330,0.140,-0.090,0,2.33000,,,0,5.440000,,,0,744,,,0,86.290,,,0,,5241.00,223.61,-198.95,0,0.81,0.08,-0.05,0,0.86,0.06,-0.05,0,-0.350,,,0,8.54287,76.92475,490.0000000,53.4140000,-35.2070000
Kepler-932 b,Kepler-932,b,1,1,Transit,2016,2016-05,Kepler,0.95 m Kepler Telescope,1.370,0.130,-0.100,0,2.45000,,,0,5.240000,,,0,1276,,,0,74.860,,,0,,5331.00,194.78,-166.65,0,0.84,0.07,-0.05,0,0.87,0.06,-0.05,0,-0.322,,,0,8.90386,77.30447,465.6120000,4.2030000,-4.1290000
Kepler-933 b,Kepler-933,b,1,1,Transit,2016,2016-05,Kepler,0.95 m Kepler Telescope,2.460,0.230,-0.160,0,6.62000,,,0,2.440000,,,0,602,,,0,89.980,,,0,,5346.00,65.89,-87.13,0,0.84,0.07,-0.05,0,0.87,0.04,-0.05,0,-0.211,,,0,13.81149,75.08255,1017.2000000,29.3700000,-27.7870000
Kepler-934 b,Kepler-934,b,1,1,Transit,2016,2016-05,Kepler,0.95 m Kepler Telescope,2.090,0.150,-0.110,0,5.02000,,,0,3.020000,,,0,384,,,0,89.860,,,0,,5001.00,68.25,-76.01,0,0.77,0.04,-0.03,0,0.81,0.04,-0.04,0,-0.478,,,0,13.42851,75.50887,608.7380000,8.9950000,-8.7410000
Kepler-935 b,Kepler-935,b,1,1,Transit,2016,2016-05,Kepler,0.95 m Kepler Telescope,1.350,0.080,-0.070,0,2.39000,,,0,5.340000,,,0,879,,,0,89.100,,,0,,4830.00,74.56,-87.15,0,0.73,0.03,-0.04,0,0.78,0.04,-0.04,0,-0.639,,,0,11.69055,79.64512,471.7820000,4.0850000,-4.0850000
Kepler-936 b,Kepler-936,b,1,1,Transit,2016,2016-05,Kepler,0.95 m Kepler Telescope,1.450,0.200,-0.100,0,2.70000,,,0,4.870000,,,0,867,,,0,83.330,,,0,,5482.00,99.27,-127.57,0,0.89,0.11,-0.06,0,0.92,0.04,-0.05,0,-0.190,,,0,12.62740,79.29455,823.3990000,,
Kepler-937 b,Kepler-937,b,1,2,Transit,2016,2016-05,Kepler,0.95 m Kepler Telescope,3.720,1.290,-0.480,0,13.40000,,,0,1.430000,,,0,495,,,0,89.610,,,0,,6095.00,81.71,-127.30,0,1.22,0.42,-0.15,0,1.15,0.12,-0.08,0,0.281,,,0,12.25527,79.46009,1571.4600000,61.0550000,-61.0550000
Kepler-937 c,Kepler-937,c,1,2,Transit,2016,2016-05,Kepler,0.95 m Kepler Telescope,2.670,0.910,-0.390,0,7.61000,,,0,2.200000,,,0,377,,,0,89.840,,,0,,6095.00,81.71,-127.30,0,1.22,0.42,-0.15,0,1.15,0.12,-0.08,0,0.281,,,0,12.25527,79.46009,1571.4600000,61.0550000,-61.0550000
